sense_type,source_id,target_id
hypernym,08037601,04057801
hypernym,08037701,06591908
hypernym,08037801,06691101
antonym,08038203,06610104
synonym,08038203,06648204
synonym,08038203,06706903
synonym,08038203,06606603
synonym,08038203,07063804
synonym,08038203,09291102
hypernym,08038401,06611902
synonym,08038701,07010007
synonym,08038801,09293901
synonym,08039101,05147401
synonym,08039101,03057601
synonym,08039101,05017501
antonym,08039102,05051803
antonym,08039102,07036603
synonym,08039102,04018801
synonym,08039102,06531201
synonym,08039102,05186504
synonym,08039102,05174902
synonym,08039102,03015801
synonym,08039102,06670503
hypernym,08039201,13740901
hypernym,08039301,06630601
hyponym,08039301,08039401
hyponym,08039301,08039501
synonym,08039401,08039501
hypernym,08039601,06690802
hypernym,08039701,06026701
hypernym,08039801,06026701
hypernym,08040101,06015102
hypernym,08040302,06638401
hypernym,08040402,06558801
synonym,08040901,09312401
synonym,08040901,05233101
hypernym,08041101,06008901
synonym,08041501,06008901
meronym,08041501,05235601
synonym,08041502,06008902
hypernym,08042301,06611301
hypernym,08042601,13642401
hypernym,08042701,13642401
synonym,08042801,06509601
synonym,08042801,05229161
synonym,08042801,07045401
synonym,08042802,07030806
synonym,08042803,05229163
synonym,08042804,05229164
synonym,08042805,05229165
synonym,08042806,05229166
synonym,08042806,09039102
synonym,08042806,03024402
hypernym,08042901,04123402
synonym,08043001,05239001
synonym,08043001,06537602
synonym,08043001,06556104
synonym,08043001,06610801
hypernym,08043001,05051803
hypernym,08043201,04123402
hypernym,08043301,04123402
hypernym,08043401,04123402
hypernym,08043501,04123402
hypernym,08043601,04123402
hypernym,08043701,04123402
synonym,08043801,07082501
hypernym,08043801,06771801
synonym,08043901,07027401
synonym,08043901,07049501
synonym,08043902,07027402
hypernym,08043903,14308501
synonym,08044001,05070405
synonym,08044001,14466301
hypernym,08044001,06638401
hypernym,08044002,06667102
hypernym,08044801,06701420
hypernym,08044801,05224606
hypernym,08044801,06559219
hypernym,08044801,06513708
hypernym,08044801,04124301
hypernym,08044801,06562105
hypernym,08044801,06627514
hypernym,08044801,05035202
hypernym,08044801,05233701
hypernym,08044801,07050301
synonym,08044802,06607801
synonym,08044802,06673601
synonym,08044802,06648101
synonym,08045701,06516604
synonym,08045801,06766401
hypernym,08045801,06529301
synonym,08045802,06766402
synonym,08045802,06571101
synonym,08045803,06766403
synonym,08045803,06571102
synonym,08045804,06766405
antonym,08045901,04134801
antonym,08045902,04134802
antonym,08046002,07009816
synonym,08046002,07010011
synonym,08046501,03046602
synonym,08046501,04015101
synonym,08046501,04014205
synonym,08046501,04017102
synonym,08046501,04017509
synonym,08046502,04015102
synonym,08046502,04017104
synonym,08046503,04015103
synonym,08046503,04017103
synonym,08046504,07076509
hypernym,08046601,06611301
synonym,08046801,07069602
synonym,08046802,07069811
synonym,08046802,06571802
synonym,08046802,07069601
synonym,08046803,07069812
synonym,08046803,07069603
synonym,08046805,05235008
synonym,08046805,06709316
synonym,08046805,07069902
hypernym,08047001,13631801
hypernym,08047301,13642401
hypernym,08047401,13642401
hypernym,08047501,13642401
hypernym,08047601,13642401
synonym,08048501,06721055
synonym,08048601,06721010
synonym,08048602,06721011
synonym,08049301,07104801
synonym,08049401,06675801
hypernym,08049801,05231401
synonym,08049901,07083303
hypernym,08049901,06526101
synonym,08050001,06566304
synonym,08050002,06788501
synonym,08050002,06785401
synonym,08050002,05139101
synonym,08050002,07054202
synonym,08050301,06525401
hypernym,08050301,06641001
synonym,08050302,06525401
hypernym,08050401,06667101
synonym,08050701,06033101
synonym,08050901,06601001
synonym,08051001,06524101
hypernym,08051001,06641001
synonym,08051002,06524102
synonym,08051003,06524103
hypernym,08051201,06641001
synonym,08051401,07047502
synonym,08051401,05104502
synonym,08051401,07017603
hypernym,08051501,06694501
synonym,08052001,06757301
synonym,08052001,07053101
synonym,08052002,06757305
synonym,08052002,07053105
synonym,08052003,06757303
synonym,08052003,05129402
synonym,08052003,05066201
synonym,08052003,06005706
synonym,08052003,07007505
synonym,08052003,03039322
synonym,08052003,06661701
synonym,08052003,06635006
synonym,08052003,05002904
synonym,08052601,09311601
synonym,08052602,09311602
synonym,08052603,06545209
synonym,08052603,09311603
synonym,08052604,06721048
synonym,08052604,09181802
synonym,08053301,06671501
synonym,08053401,07043702
hypernym,08053401,pwn_00828075V
varword,08053401,06756401
varword,08053402,06756405
varword,08053403,06756406
nearsynonym,08053404,pwn_01050168V
varword,08053404,06756407
antonym,08053405,pwn_01052287V
varword,08053405,06756408
synonym,08053406,06589101
synonym,08053406,06782601
synonym,08053406,06758707
synonym,08053406,09253901
synonym,08053406,09145202
varword,08053406,06756411
nearsynonym,08053407,pwn_01383938V
varword,08053407,06756412
hypernym,08053501,04153201
hypernym,08053601,04123402
synonym,08053801,05000501
synonym,08053802,05000502
synonym,08053803,05000503
synonym,08053804,05000504
synonym,08053805,05000505
synonym,08053806,05000506
synonym,08053902,04030002
synonym,08053902,04026902
synonym,08053902,05221502
synonym,08053902,04041603
synonym,08053902,07023502
synonym,08053902,05195401
synonym,08053902,09287402
varword,08053902,06608102
synonym,08053902,06582301
synonym,08053901,04030001
synonym,08053901,04026901
synonym,08053901,05221501
synonym,08053901,04041602
synonym,08053901,04012003
synonym,08053901,06664310
synonym,08053901,05098112
synonym,08053901,07023501
synonym,08053901,07023409
synonym,08053901,09287401
varword,08053901,06608101
nearsynonym,08053701,pwn_00981851V
synonym,08054401,05234001
synonym,08054401,04018803
synonym,08054401,06751301
hypernym,08055401,06667101
hypernym,08055801,06560103
synonym,08055901,06745101
varword,08056203,06627701
hypernym,08056203,06579401
hypernym,08056301,04123402
synonym,08056401,04136601
antonym,08056404,06744802
antonym,08056404,06537501
synonym,08056404,06648203
synonym,08056404,06706901
synonym,08056404,09144704
synonym,08056405,05094005
nearsynonym,08056406,pwn_00230790N
synonym,08056501,05146801
hypernym,08056502,pwn_01259232V
synonym,08056601,09148103
nearsynonym,08056601,pwn_05081510N
hypernym,08056601,06611301
hyponym,08056601,14615501
hypernym,08056602,pwn_04984758N
hypernym,08056602,06579401
synonym,08056603,06770001
nearsynonym,08056603,pwn_04541674N
hypernym,08056603,03020601
varword,08056701,03000607
synonym,08056702,04018207
synonym,08056702,03000703
synonym,08056702,04018505
synonym,08056702,03050003
synonym,08056702,03049303
synonym,08056702,03015403
synonym,08056702,04014104
synonym,08056702,05198207
synonym,08056702,04018303
varword,08056702,03000605
hypernym,08056801,04123402
synonym,08056901,06561301
hypernym,08057401,04123402
hypernym,08057601,07019002
hypernym,08057601,07086901
hypernym,08057601,05040401
nearsynonym,08057601,pwn_03683012N
synonym,08057602,06657601
synonym,08057602,04018213
synonym,08057602,06588402
synonym,08057603,04004303
synonym,08057603,04004503
synonym,08057603,06020203
nearsynonym,08057604,pwn_04454528N
synonym,08057605,06003701
synonym,08057901,05190101
hyponym,08057901,pwn_00060986R
synonym,08057901,04026801
synonym,08057901,05140401
synonym,08058203,06764603
synonym,08058203,09293303
hypernym,08058203,pwn_03973686N
synonym,08058401,05196501
synonym,08058401,03003901
synonym,08058401,05196201
synonym,08058401,05128201
synonym,08058401,05095904
synonym,08058401,06751601
synonym,08058401,06614201
synonym,08058401,05143703
synonym,08058401,04030007
synonym,08058401,04032001
synonym,08058401,05013301
synonym,08058402,05196502
nearsynonym,08058402,pwn_00037028R
hypernym,08058501,pwn_01820283V
hypernym,08058901,pwn_02283435A
synonym,08059501,04111901
synonym,08059502,05234101
synonym,08059502,04028301
synonym,08059502,03036504
synonym,08059502,05031401
synonym,08059502,04027201
synonym,08059502,04028401
synonym,08059502,05068001
synonym,08059502,04028001
synonym,08059502,05092001
synonym,08059502,05061901
synonym,08059502,05108101
synonym,08059502,06053401
synonym,08059502,05150801
synonym,08059502,06780401
synonym,08059502,06560209
synonym,08059502,07107302
synonym,08059502,06537910
synonym,08067401,05224405
synonym,08067401,05225912
synonym,08067401,05231506
synonym,08067401,06020607
synonym,08067401,08014902
synonym,08067501,04094201
synonym,08067601,05009701
synonym,08067602,05009702
