relation_type,source_id,target_id,direction
hypernym,03008401,pwn_01651958V,forward
has_facet,03008501,0300850101,forward
has_facet,03008501,0300850102,forward
generic,03008501,pwn_00058757V,forward
synonym,03008601,04080701,forward
synonym,03008601,04080501,forward
generic,03008601,pwn_03991218N,forward
has_facet,03008701,0300870101,forward
has_facet,03008701,0300870102,forward
synonym,03008701,09049603,forward
generic,03008701,pwn_00290373R,forward
varword,03008701,04034001,forward
varword,03008701,06046301,forward
synonym,03008702,05073802,forward
generic,03008702,pwn_00869222A,forward
generic,03008703,pwn_04858569N,forward
generic,03008801,pwn_00097885R,forward
generic,03009001,pwn_01783732A,forward
hypernym,03009101,067452,forward
nearsynonym,03009201,pwn_01557033V,forward
hypernym,03009201,06612301,forward
has_facet,03009202,0300920201,forward
has_facet,03009202,0300920202,forward
generic,03009202,pwn_01557033V,forward
has_facet,03009301,0300930101,forward
has_facet,03009301,0300930102,forward
generic,03009301,pwn_01350615V,forward
has_facet,03009401,0300940101,forward
has_facet,03009401,0300940102,forward
has_facet,03009401,0300940103,forward
generic,03009401,pwn_01349856V,forward
has_facet,03009402,0300940201,forward
has_facet,03009402,0300940202,forward
generic,03009402,pwn_01349596V,forward
synonym,03009403,07034303,forward
hypernym,03009403,pwn_00295748V,forward
synonym,03009501,03056601,forward
synonym,03009501,07023408,forward
generic,03009501,pwn_01353913A,forward
antonym,03009601,03023601,forward
synonym,03009601,03047401,forward
generic,03009601,pwn_07127521N,forward
hypernym,03009601,05186501,forward
antonym,03009602,03023602,forward
synonym,03009602,03047402,forward
generic,03009602,pwn_07128451N,forward
varword,03009602,07006802,forward
antonym,03009603,03023603,forward
synonym,03009603,03047403,forward
generic,03009603,pwn_07128110N,forward
varword,03009603,07006803,forward
antonym,03009604,03023604,forward
generic,03009604,pwn_07127750N,forward
synonym,03009605,03047406,forward
generic,03009605,pwn_07323531N,forward
varword,03009605,03047405,forward
generic,03009701,pwn_05517298N,forward
generic,03009702,pwn_07793035N,forward
generic,03009703,pwn_07793357N,forward
generic,03009704,pwn_00538490N,forward
generic,03009705,pwn_04967816N,forward
synonym,03009706,06674601,forward
synonym,03009706,05229179,forward
synonym,03009706,06701406,forward
synonym,03009706,09264701,forward
generic,03009706,pwn_00536087V,forward
has_facet,03009801,0300980101,forward
has_facet,03009801,0300980102,forward
generic,03009801,pwn_04960631N,forward
hypernym,03009801,06612301,forward
synonym,03009802,07051407,forward
generic,03009802,pwn_04735661N,forward
synonym,03009901,0410000101,forward
generic,03009901,pwn_01630157V,forward
synonym,03009901,04100001,forward
generic,03009902,pwn_01544679V,forward
synonym,03009903,0510700101,forward
synonym,03009903,06598620,forward
generic,03009903,pwn_01629170V,forward
synonym,03009903,05107001,forward
generic,03009904,pwn_00726812V,forward
generic,03009905,pwn_01533628V,forward
generic,03009906,pwn_05270417N,forward
generic,03009907,pwn_05136085N,forward
generic,03009908,pwn_05335965N,forward
generic,03009909,pwn_03897210N,forward
synonym,03009910,06707801,forward
generic,03009910,pwn_04564824N,forward
synonym,03009911,09289403,forward
generic,03009911,pwn_05293492N,forward
generic,03010001,pwn_01459552V,forward
synonym,03010002,07052303,forward
generic,03010002,pwn_01664310V,forward
generic,03010101,pwn_06380834N,forward
holonym,03010101,05231101,forward
holonym,03010101,09127401,forward
holonym,03010101,07059601,forward
holonym,03010101,05227901,forward
holonym,03010101,14584601,forward
generic,03010102,pwn_06380382N,forward
hypernym,03010104,pwn_00994853V,forward
synonym,03010105,06645302,forward
synonym,03010106,06618101,forward
generic,03010106,pwn_00830295V,forward
synonym,03010107,05079401,forward
hypernym,03010107,03019006,forward
hypernym,03010107,05220401,forward
hypernym,03010107,05031102,forward
hypernym,03010107,pwn_00554494V,forward
synonym,03010109,05229115,forward
generic,03010109,pwn_01543927V,forward
generic,03010110,pwn_00031106R,forward
generic,03010201,pwn_02473776N,forward
holonym,03010201,06690801,forward
holonym,03010201,06690802,forward
hypernym,03010202,06667101,forward
synonym,03010301,09282301,forward
synonym,03010301,09279601,forward
hyponym,03010301,pwn_01291209V,forward
hyponym,03010301,pwn_00009431V,forward
generic,03010302,pwn_01289996V,forward
generic,03010303,pwn_01289996V,forward
generic,03010304,pwn_01289996V,forward
generic,03010401,pwn_01039562V,forward
generic,03010402,pwn_00632077V,forward
generic,03010501,pwn_01039562V,forward
generic,03010502,pwn_00632077V,forward
antonym,03010601,04040302,forward
synonym,03010601,05124601,forward
synonym,03010601,05073701,forward
synonym,03010601,05069502,forward
synonym,03010601,05137801,forward
synonym,03010601,05107701,forward
synonym,03010601,05172701,forward
synonym,03010601,05048901,forward
synonym,03010601,07069503,forward
synonym,03010601,06517601,forward
hyponym,03010601,pwn_01488913A,forward
generic,03010602,pwn_02115582A,forward
synonym,03010603,06042403,forward
synonym,03010603,06504601,forward
generic,03010603,pwn_09759561N,forward
antonym,03010604,04040306,forward
generic,03010604,pwn_00033931R,forward
generic,03010606,pwn_00096343R,forward
generic,03010607,pwn_00057118R,forward
has_facet,03010701,0301070101,forward
has_facet,03010701,0301070102,forward
hyponym,03010701,pwn_01339584A,forward
hyponym,03010701,pwn_00134549R,forward
synonym,03010801,05098401,forward
synonym,03010801,09251202,forward
synonym,03010802,05098402,forward
generic,03010802,pwn_01489818A,forward
generic,03010803,pwn_00101095R,forward
generic,03010901,pwn_09759561N,forward
generic,03010902,pwn_09760262N,forward
synonym,03011001,03052301,forward
synonym,03011001,07100901,forward
synonym,03011001,04023401,forward
generic,03011001,pwn_10870647N,forward
hypernym,03011001,06560103,forward
holonym,03011001,06560101,forward
synonym,03011101,03050603,forward
synonym,03011101,04052301,forward
synonym,03011101,04057001,forward
synonym,03011101,04086303,forward
synonym,03011101,04086704,forward
generic,03011101,pwn_00416622V,forward
synonym,03011201,03001001,forward
synonym,03011201,06048801,forward
has_facet,03011301,0301130101,forward
has_facet,03011301,0301130102,forward
generic,03011301,pwn_00791942V,forward
has_facet,03011302,0301130201,forward
has_facet,03011302,0301130202,forward
generic,03011302,pwn_00635307V,forward
generic,03011401,pwn_00791942V,forward
generic,03011402,pwn_00635307V,forward
has_facet,03011501,0301150101,forward
has_facet,03011501,0301150102,forward
generic,03011501,pwn_00639889V,forward
has_facet,03011601,0301160101,forward
has_facet,03011601,0301160102,forward
generic,03011601,pwn_00561647V,forward
generic,03011707,pwn_00168071V,forward
varword,03011707,06709314,forward
generic,03011801,pwn_06214699N,forward
hypernym,03011801,07025301,forward
has_facet,03011901,0301190101,forward
has_facet,03011901,0301190102,forward
generic,03011901,pwn_00739666V,forward
generic,03011902,pwn_01301287V,forward
varword,03012001,06588201,forward
has_facet,03012101,0301210101,forward
has_facet,03012101,0301210102,forward
generic,03012101,pwn_01750236V,forward
has_facet,03012102,0301210201,forward
has_facet,03012102,0301210202,forward
generic,03012102,pwn_00780061V,forward
synonym,03012201,07051410,forward
synonym,03012201,07047201,forward
generic,03012201,pwn_01191194V,forward
antonym,03012301,06724601,forward
antonym,03012301,07089901,forward
synonym,03012301,06749202,forward
synonym,03012301,08003901,forward
synonym,03012301,09232102,forward
synonym,03012301,0505680101,forward
varword,03012301,06749203,forward
synonym,03012301,05056801,forward
generic,03012302,pwn_01648022V,forward
synonym,03012303,06749210,forward
synonym,03012303,05193411,forward
synonym,03012303,08030011,forward
synonym,03012303,09232103,forward
synonym,03012303,0505680201,forward
synonym,03012303,06715903,forward
generic,03012303,pwn_01890772V,forward
synonym,03012303,05056802,forward
synonym,03012304,06749211,forward
synonym,03012304,0505680401,forward
synonym,03012304,09232105,forward
generic,03012304,pwn_00656764V,forward
synonym,03012304,05056804,forward
synonym,03012305,06749229,forward
synonym,03012305,03012403,forward
generic,03012305,pwn_01176015V,forward
synonym,03012306,09232107,forward
synonym,03012306,0666420101,forward
synonym,03012306,0505680501,forward
